text,author,title
BSAは元々そこで結成された組合である。,wikipedia,wikipedia
李沢民の地図は満洲南部に流れる遼河の少し先までしか描かれていなかったので、朝鮮半島全部と日本も加えた地図にした。,wikipedia,wikipedia
大半が住所表記上、大字に「水島」の名を冠している。,wikipedia,wikipedia
このシーズンは9試合に出場した。,wikipedia,wikipedia
これにより残り3局による「首都圏トライアングル」へと変わった。,wikipedia,wikipedia
湊川（みなとがわ）は日本相撲協会の年寄名跡のひとつで、初代・湊川が四股名として名乗っていたもので、その由来は定かではない。,wikipedia,wikipedia
アイヌ民族出身の参議院議員萱野茂をかこむ学者の会の中心となり、萱野茂・アイヌ文化講座の世話役を務めた。,wikipedia,wikipedia
あるスポークスマンはサイクロンで家を失った住民は再建のため250ルピー (55米ドル(1971年当時、2007年換算で279米ドル)）までの資金を受け取っているとしたが、物資が払底しているため生存者は「現金をそのまま齧る」羽目になるのではないかと恐れた。,wikipedia,wikipedia
普段は風の弱い甲府盆地周辺において、強い風が吹くのは台風と冬型気圧配置によるものが多い。,wikipedia,wikipedia
偶然、その噂を耳にしたレナは憤激した。,wikipedia,wikipedia
表現の可能性はハードウェアの制約から解放され、黄金期・発展期に見られた「ハードの制約と、それに対するアーティストの挑戦」から、ゲームの魅力を最大に引き出す名脇役としていかにプレイヤーの耳を楽しませるかという内容そのものの魅力で勝負する時代となってきている。,wikipedia,wikipedia
プロ野球の試合数については2000年以後140試合以上と増えたこと、また選抜大会も1997年に雨天中止が頻発したことなどから、プロ野球の日程に支障をきたすこともあるため、現在は何れも開幕時期を大幅に繰り上げている（選抜が概ね春分の日（3月20日か3月21日）前後、プロ野球は3月最終金曜日に制定されていることが多い。,wikipedia,wikipedia
原子物理学者のスタニスワフ・ウラムが「経済学の定理などはすべて自明のものだ」とサミュエルソンをからかったことがあった。,wikipedia,wikipedia
1979年には集英社から画集『吉川霊華画集』を出版し、市田はその執筆・編集にあたった。,wikipedia,wikipedia
全14話。,wikipedia,wikipedia
同年は2度目の社会人ベストナインに選出された。,wikipedia,wikipedia
なお、一覧の順序は全国地方公共団体コード順による。,wikipedia,wikipedia
」と語った大衆的政治家であったロイド・ジョージは、全面戦争という状況には国民世論の支持が不可欠と考えていたためである。,wikipedia,wikipedia
ハアブには閏年はなく、季節と月日は年々ずれていく。,wikipedia,wikipedia
通常は揶揄や皮肉の意味を込めて使われる。,wikipedia,wikipedia
1966年（昭和41年）3月、日本大学理工学部土木工学科卒業。,wikipedia,wikipedia
彼の菩提寺として中世を通して巡礼地となっていたセント・デイヴィッド大聖堂は、かつて彼がペンブロークシャーに建てた修道院の跡地に建てられた。,wikipedia,wikipedia
つまりエリザベスは、（アメリカ独立革命以後）聖公会の環境で育てられたのである。,wikipedia,wikipedia
『ライヴ・アンド・デンジャラス』（Live and Dangerous）は、アイルランド出身のハードロック・バンド、シン・リジィが1978年に発表したライヴ・アルバム。,wikipedia,wikipedia
海老名市立杉久保小学校（えびなしりつ すぎくぼしょうがっこう）は、神奈川県海老名市杉久保北にある市立小学校。,wikipedia,wikipedia
色彩設計者から色のデータをもらい、各話のシーンそれぞれの色を指定していくのがこの色指定という役職。,wikipedia,wikipedia
首都を中心とした王道に沿って102の病院（アーロギャーシャーラ）を建設し、主要な道路には16kmごとに宿駅が設置された。,wikipedia,wikipedia
ファシズムの立場からの階級協調の一時的な否定には、以下のものがある。,wikipedia,wikipedia
本級はイギリス海軍が1936年に締結した第二次ロンドン海軍軍縮条約に基いて竣工させた軽巡洋艦である。,wikipedia,wikipedia
ティリオンは、断崖に向かって開き床が傾く〈天空房〉に入れられる。,wikipedia,wikipedia
これに対しオーガスタ、ブルックリンや爆撃機が攻撃をおこなった。,wikipedia,wikipedia
享年92（満91歳）。,wikipedia,wikipedia
石野からは「男YOU」「ポストなぎら健壱」「ネオなぎら」とも評される。,wikipedia,wikipedia
しかし、南部は強い軍隊の伝統があり、戦争に対する備えがあった。,wikipedia,wikipedia
1回戦は12月13日、2回戦は12月15日に実施予定であった。,wikipedia,wikipedia
この上田合戦を契機に真田氏は、武田の旧臣から信濃の独立勢力（大名）として豊臣系大名の間で認知されることになった。,wikipedia,wikipedia
歴史や社会の発展段階論に結びつくと、野蛮は未開とも呼ばれる。,wikipedia,wikipedia
ロシア革命後にチェコやアメリカに亡命したユーラシア主義者のジョージ・ヴェルナツキーによれば、分裂が進んだルーシはモンゴルから専制や支配制度を学び、後のロシア・ツァーリ国はモンゴル帝国の後継国家としてユーラシアを支配する国になったとされる。,wikipedia,wikipedia
左利きの音楽家や演奏家は歴史的に遍在している。,wikipedia,wikipedia
識別可能な二つのものだけが同定可能であり、そこにはまずはじめに差異がなければならない。,wikipedia,wikipedia
ハロー (halo) またはハロとも表記される。,wikipedia,wikipedia
このドッジラインによって輸出と輸入の為替レートは一致して財政収支が均衡したほか、問題になっていたヤミ価格と公定価格の差もなくなった1947年8月から民間の輸出が再開されていたが、1949年12月の外国為替及び外国貿易管理法では国外での経済取引は原則禁止で、許認可を受けた例外のみ認められた。,wikipedia,wikipedia
日本で普及していないスポーツを応援する企画。,wikipedia,wikipedia
宇宙各地の荒くれ者が、ガイナモを中心に集まって結成された宇宙暴走族。,wikipedia,wikipedia
ディーゼルエンジンはフォード・AJDエンジンが搭載され、4.4L V型8気筒ターボディーゼルと3.0L V型6気筒ターボディーゼルが選択できる。,wikipedia,wikipedia
1970年代にはアールデコ調に飾られたパリのRue de l'Université のアパートメント。,wikipedia,wikipedia
これと同時に、『これらオプションのFM音源や連射機能を内蔵したマークIII マイナーチェンジ版』の発売がセガ社内にて計画された。,wikipedia,wikipedia
通称『鹿屋高校』、または『普通校』（鹿屋市内では普通科単独の高校が同校のみであるため）。,wikipedia,wikipedia
SQS-505の装備形態には、艦底装備型と可変深度型がある。,wikipedia,wikipedia
幼い頃は最初は旧学を学んでいたが、13歳で嵩山少林寺に赴き、拳術・棒術を習得する。,wikipedia,wikipedia
"2003年の夏半期にニーデルンベルクには7,115人の宿泊客があったが、その多くはビジネス客によるものであった。",wikipedia,wikipedia
対外的には、高句麗の長寿王が北朝だけではなく南朝にも朝貢して爵号を得たことを聞き、百済からも南斉に朝貢して冊封体制下に入ったが、高句麗の得た爵号に対しては評価の低いものに留まった。,wikipedia,wikipedia
現在、国防政策委員会の代表。,wikipedia,wikipedia
旧美術館の開館と同年に設立された公益財団法人平野政吉美術財団（旧・財団法人平野政吉美術館）によって運営されており、現在の美術館は2013年（平成25年）9月28日に、旧美術館から移転、再オープンしたものである。,wikipedia,wikipedia
酵素がディールス・アルダー反応とヘテロ・ディールス・アルダー反応を制御せず、酵素LepIがディールス・アルダー反応の生成物を基質としレトロクライゼン転位を触媒する経路が生じることで、ヘテロ・ディールス・アルダー反応にて与える生成物と同一の生成物を与えることを明らかにした。,wikipedia,wikipedia
プールヘムは鉱石を鉱山から引き上げて輸送する当時の危険で非効率な作業工程を改善した。,wikipedia,wikipedia
清澄で正確に半音階ずつ高くなるアルペジオ、力強く魅力溢れる節回し、ときに優雅にときに艶かしく響くマリアの声は、あらゆる芸術がもたらすことができる幸福感に満ちている」と絶賛している。,wikipedia,wikipedia
エッカはオーストラリアクイーンズランド州の祭りで、州都ブリスベンで毎年8月に10日間にわたり催される。,wikipedia,wikipedia
タイヤのインチアップや大径クロームホイールの取り付け、車両本体に派手なカラーリングを施すなどの外装の改造から、シートやオーディオ、生地の張替えなどの内装の改造、場合によっては見た目だけでなくエンジンスワップやターボ、NOSなどの装着といったチューニングカーの部類に入るカスタムまで、幅広く行われる。,wikipedia,wikipedia
不定人称文（）では動詞は三人称複数となる。,wikipedia,wikipedia
吸収効率が高くないため、進行時の脚気など、胃腸が弱っているときには吸収しきれないこともあり、この時は高吸収率のビタミンB1誘導体を摂取する必要がある（一般にも市販されていて、アリナミンAなどが有名）。,wikipedia,wikipedia
アメリカでは、2011年7月26日に北米盤DVD・Blu-rayボックスが発売され、同時にオンデマンド放送と有料ダウンロードも開始（北米の公式サイト）。,wikipedia,wikipedia
同年4月3日車両番号変更届で、キハ1形キハ1、キハ2はキハ3形キハ3（2代）、キハ4に改番されたが、川越機関区に放置されたまま、1954年（昭和29年）に廃車となった。,wikipedia,wikipedia
"単位的結合 ""R""-代数の全てと、それらの間の全ての単位的結合代数準同型を合わせたものは圏を成し、""R""-Alg などで表される。",wikipedia,wikipedia
『プラネットハウル』（PLANET HOWL）は、SmokingWOLFと標準誤差StRが共同制作したSFマウスアクションゲーム。,wikipedia,wikipedia
ここから登山がスタートする。,wikipedia,wikipedia
連合艦隊の草鹿龍之介参謀長はそれをなだめたが神大佐は「大和を特攻的に使用した度」と軍港に係留されるはずの大和を第二艦隊に編入させた。,wikipedia,wikipedia
同じ年にデビューを果たしたパンクバンドダムドのボーカルは元墓堀人のデイヴ・ヴァニアンであり、彼は吸血鬼のような衣装を着てステージに立っていた。,wikipedia,wikipedia
ここで、エンジン中心部を通過するコア排気と、外側を通過するバイパス排気の割合をバイパス比という。,wikipedia,wikipedia
マドリガルは12の島々に分かれているとされ、現在は以下の5つの島が実装されている。,wikipedia,wikipedia
「あなたの100の嫌いなところ」（あなたのひゃくのきらいなところ）は、2014年2月26日にソニー・ミュージックレコーズから発売された剛力彩芽の2枚目のシングル。,wikipedia,wikipedia
初期は主に『りぼん』や『りぼん』増刊号などで読み切りを掲載後、秋田書店の少女雑誌である『ボニータ』や『ひとみ』を中心に連載していた。,wikipedia,wikipedia
ポスト城島健司候補の一人で、2004年のシーズンオフには城島と自主トレを行って同年フレッシュオールスターゲーム出場。,wikipedia,wikipedia
以下は一例。,wikipedia,wikipedia
近くを旅していたヘーラクレースはエジプト人に捕まり、生け贄の祭壇に連れて来られた。,wikipedia,wikipedia
デジタル経済社会省大臣が省の長となる。,wikipedia,wikipedia
賀茂なす（かもなす）は、ナスの一品種。,wikipedia,wikipedia
いわゆる五戒に、八斎戒等から別の五項目を加え、「不邪淫戒」を「不淫戒」にした、日常に守るべき戒律である。,wikipedia,wikipedia
責任感の強い彼は、チームを強化すべく、厳しい練習を部員達に強要するようになる。,wikipedia,wikipedia
金策には森賢吾が極秘で奔走した。,wikipedia,wikipedia
一般的な場合、特に、ある元にそれ自身を掛ける際にはすべてのビットが等しくなるという事実と関係して、いくつかのマイナーな最適化が存在する。,wikipedia,wikipedia
デジタルコンテンツの長期的保存は、新方式の記録媒体が登場する度にデータのコピーを繰り返すマイグレーション（移住）が最適とされてきた。,wikipedia,wikipedia
また、出演芸人は松竹芸能が斡旋をしており、開演記念番組には松竹の看板であったかしまし娘と中田ダイマル・ラケットが出演していた。,wikipedia,wikipedia
だが、静香はのび太の会話や趣味が幼稚でつまらなく思っている節があり、たまに押しかけることを断ることもある。,wikipedia,wikipedia
ドイツのアルゴイ地方ベルダッハに生まれる。,wikipedia,wikipedia
船体は喫水線に位置する上棚が2重・3重の板で構成され、更に帰徳丸の絵図によると船体は3つの隔壁で区画されていた。,wikipedia,wikipedia
ようやく『日本金融資本論』を脱稿して時間ができたため、作者が学生時代に読んだという、平康頼『宝物集』に出てくる「灯台鬼」の説話を題材にして本作を書き上げた。,wikipedia,wikipedia
2012年のQS大学ランキングではスペイン第1位、世界第176位とされた。,wikipedia,wikipedia
2014-15シーズン、UEFAチャンピオンズリーグでのモナコをベスト8に導く活躍で一躍注目を浴びた。,wikipedia,wikipedia
その代わり前作よりは当てにくい、もしくは弱点がないボスがいる。,wikipedia,wikipedia
一般名詞としての「参宮鉄道」は神社（または寺院）の参拝客輸送を目的として敷設された鉄道を指す。,wikipedia,wikipedia
コンクフードは、「海底ハイキング」（てんとう虫コミックス第4巻に収録）、『ドラえもん のび太の恐竜』に登場する。,wikipedia,wikipedia
彼が強く支援したルノーと日産自動車による救済を、GMが拒絶したことによるものとみられている。,wikipedia,wikipedia
実業団横綱のタイトルを持っているため幕下15枚目格付出が承認された。,wikipedia,wikipedia
さらに飲酒による酩酊や粗暴な行為も彼に属するとされ、ゾロアスター教においては神酒ハオマを除くアルコール飲料は推奨されない。,wikipedia,wikipedia
「告発、答弁、証言、判決」のうち、「判決」（抜粋）は以下のとおり。,wikipedia,wikipedia
国民党の資料によれば、将緯国将軍は約14個師、また作戦経過概要等では12月初に約15師強とする。,wikipedia,wikipedia
また、深く傾倒した仏教の影響も窺える。,wikipedia,wikipedia
お客さまが番号札を引くと、次の番号札が自動的にでてくる。,wikipedia,wikipedia
1937年、東京帝国大学言語学科卒業、八杉貞利にロシヤ語を学ぶ。,wikipedia,wikipedia
2006年にフィンランド学校は再開されたが、2年後関係者の帰国により休校となった。,wikipedia,wikipedia
すなわち2つの小楽節は同じにはならない。,wikipedia,wikipedia
それに弟のレムスが怒り兄をあざけったので、兄弟の間で戦いが起こり、弟が兄に殺されてしまった。,wikipedia,wikipedia
郵便番号は891-0621。,wikipedia,wikipedia
さらに、かねてから浮気をしていた妻のジョーイから一方的に離婚されてしまう。,wikipedia,wikipedia
海軍大学校甲種を三度受験するも、二次の口答試験を通らず不合格となり、一時は海軍を辞めようとまで考えたこともあった。,wikipedia,wikipedia
若い時は地元の史挙先生に学問を学び、張儀や樗里子の推薦で恵文王に仕えるようになった。,wikipedia,wikipedia
戦後、妻のマリー・アンナはジャクソンに関する本を出版し、彼の人柄が世に知られることになった。,wikipedia,wikipedia
直ちにエルゼナウへ戻れとホホバウム将軍から急かされ、もはや一刻の猶予もない緊迫した状況の中、将軍の見送りを受けながらツィンマーマンとパツァークは城の庭に停めている車まで戻ろうとした。,wikipedia,wikipedia
実はにな川は徹夜でオリチャンのライブのチケットを取ったため、風邪を引いたのだった。,wikipedia,wikipedia
1970年（昭和45年）12月には、鐘淵紡績練馬工場が廃止された。,wikipedia,wikipedia
1955年（昭和30年）に、合併により名取町が生まれ、2年後それが名取市になると、名取町立、名取市立へと移った。,wikipedia,wikipedia
醍醐村（だいごむら）は、かつて山形県西村山郡にあった村。,wikipedia,wikipedia
なお、1998年に神戸弘陵高等学校3年藤原務を強化指定選手第1号（現在の特別指定選手）として受け入れたが、出場機会は無かった。,wikipedia,wikipedia
有名な作品としては『ラビリンス/魔王の迷宮』（1986年）があり、ミュエクは声優としてもルドの声をあてている。,wikipedia,wikipedia
これにより党員が死亡・離党した際には古い党員番号は欠番となり、党員番号は1945年には850万代まで肥大していった。,wikipedia,wikipedia
GPSGは Gerald Gazdar が1970年代後半に開発した。,wikipedia,wikipedia
現在の美濃加茂市加茂野町市橋に該当する。,wikipedia,wikipedia
民間薬として陰干ししたのちに煎じたり、煮詰めたり、黒焼きするなどしたものは肝臓病・解熱・血便・血尿・下痢・高血圧・止血・生理不順・腹痛・吐血・便秘・利尿・目の充血や痛みに効き、各種薬効に優れた薬草として用いられる。,wikipedia,wikipedia
囚人のジレンマには相手の行動に関わらず常に最適となる行動が存在するが、チキンゲームにおける最適行動は相手の行動に依存する。,wikipedia,wikipedia
大分在住時には大分県子育て支援課のプロジェクト・父親のための育児支援ブック編集委員、おおいた子ども・子育て応援県民会議委員に参加。,wikipedia,wikipedia
2015年12月には国王の愛犬トーンデーンをFacebookで中傷したとして、27歳の男性が逮捕され、また「プラチャタイ」の電子掲示板に書き込まれた王室批判に対処しなかった廉で、ウェブサイト担当管理者が執行猶予つきの有罪判決を受けた。,wikipedia,wikipedia
裁判所はウッドが1988年2月3日まではイギリスとオーストラリアの2重国籍となっていることは憲法違反にあたり、立候補自体が無効であると決定した。,wikipedia,wikipedia
よって、1番線からの下り列車、3番線からの上り列車は全て当駅始発列車である。,wikipedia,wikipedia
これは、ミサイルが機体近くで爆発し、破片が機体を貫通しこれによって急激な減圧が発生したとみられるということで、これによって「地対空ミサイルによる撃墜という見方」が裏付けられた形となった。,wikipedia,wikipedia
文化観光部2000年式ではt、マッキューン＝ライシャワー式ではt'と表記される。,wikipedia,wikipedia
A. K. Roychoudhuryとともにヨーロッパ人、アジア人、アフリカ人の間の遺伝的変異はヒトの集団全体の遺伝的変異のたった11%にすぎないことを示した。,wikipedia,wikipedia
元来神戸市中央区は、摂津国に属し、夙川から旧生田川までの地域が菟原郡（うはらぐん）、旧生田川から須磨までの地域が八部郡（やたべぐん）と呼ばれていた（なお、東灘区にあるJR住吉駅の南にあるうはらホールという区民ホールの名の由来は、これである）。,wikipedia,wikipedia
現在は「区立上り屋敷公園」や「上り屋敷町会」などにその名をとどめている。,wikipedia,wikipedia
ウィリアムが王立協会の会員に選ばれたため、ふたりは当時随一の科学サークルに迎え入れられることとなった。,wikipedia,wikipedia
アニメを含めたメディアミックス展開はされなかったが、主人公の平田静子はプレイステーション用ゲーム『松本零士999 〜Story of Galaxy Express 999〜』やWEBドラマ『ユマの物語』などにゲスト出演している。,wikipedia,wikipedia
超音波に限らず、空気中を伝播する振動は、空気分子集団の濃淡が伝播することに起因する。,wikipedia,wikipedia
この論文の中でペアノは次の 5 項目を自然数の満たすべき原始命題として与え、さらにこれら 5 つの命題が互いに独立であることを証明した。,wikipedia,wikipedia
11月4日、京都奉行・御普請奉行・外輪物頭附属となる。,wikipedia,wikipedia
2008年10月22日、UEFAチャンピオンズリーググループリーグのリヴァプールFC戦(1-1)に先発出場してトップチームデビューしたが、2008-09シーズンの大半はセグンダ・ディビシオンB（3部）のアトレティコ・マドリードBでプレーした。,wikipedia,wikipedia
英会話 トーク&トーク（えいかいわトークアンドトーク）は、2001年4月5日から2003年3月27日までNHK教育で放送されたテレビ番組である。,wikipedia,wikipedia
秀吉の晩年に御伽衆の一人に加えられていたが、秀吉死後は子・堯政と共に豊臣秀頼の傍近くに仕えたという。,wikipedia,wikipedia
1831年にウーシマー・ハメ州が分割され、サタクンタの最東部の一部がハメ州の所属となる。,wikipedia,wikipedia
また、キャンペーンゲームについてはスタート時の設定により所属陣営変更が可能になり、同一のシナリオの中で様々な状況を楽しめる様になった（通常は史実どおり「米英連合軍」対「日独枢軸軍」という構図だが、「日英」対「米独」、「日」対「米英独」も可能）。,wikipedia,wikipedia
ジルガは基本的に男性のみで構成されているが、一部に女性のみのジルガも結成されており、女性の権利向上を訴えている。,wikipedia,wikipedia
美術史の授業などでは、スライドショーを使って学生に美術作品の映像を見せて解説するという形式は古くから存在したが、美術家たちもスライドショーを使って静止映像を投射し、空間を変容させる試みをするようになった。,wikipedia,wikipedia
新機能のほとんどを標準パッケージに追加し、商品ラインナップがシンプルであるため、商品の選択・把握が容易である。,wikipedia,wikipedia
しかし判読のしやすさから、電卓や時計などの表示には現在でも7セグメントディスプレイ・もしくは7セグメントディスプレイを模した書体がよく使われる。,wikipedia,wikipedia
かつては上りホームに駅員が配置していたが、現在は駅集中管理システムが導入されたため、無人駅である（管理元は名鉄一宮駅）。,wikipedia,wikipedia
ディアハンター(Deerhunter)、アウト・ハッド(Out Hud)を輩出したことで知られる。,wikipedia,wikipedia
ロッシュ・ローブが一杯になると質量転移を開始し、結果として軌道はさらに縮んでロッシュ・ローブはさらに溢れ、質量転移を加速させる。,wikipedia,wikipedia
公務員の守秘義務および民間企業の就業規則（個人情報の保護など）だけでは、民間人やスパイによる機密漏洩に対応できず、保守系を中心に必要論は根強かったが、戦前幅を利かせた言論統制に対する反発や、知る権利との絡み、また黒幕は外交官であることが多く不可罰なことから、反対論も強かった。,wikipedia,wikipedia
（本名Didi Prasetyo）は、Manthous以後のcampursariの重要人物である。,wikipedia,wikipedia
通称「おれつば」。,wikipedia,wikipedia
また宮台とは共著も多い。,wikipedia,wikipedia
帰国後は、武昌大学、北平大学、師範大学、清華大学の教授を歴任し、北京政府時代には参議院議員もつとめた。,wikipedia,wikipedia
エヴァーツ級護衛駆逐艦（エヴァーツきゅうごえいくちくかん、）は、第二次世界大戦の勃発によりアメリカで建造され、アメリカ海軍およびイギリス海軍により運用された護衛駆逐艦の艦級。,wikipedia,wikipedia
"シングルB面の ""Trouble in Mind"" はアルバム未収録。",wikipedia,wikipedia
蜜蝋製の六芒星を刻んだ円盤であり、彼はこれを左の手袋の甲に取り付けている（本編中で他の魔法使いがパンタクルを使う際は、首から下げている描写が多い）。,wikipedia,wikipedia
しかし、それもストリート・カルチャーやテクノ、ヒップホップなど、カルチュラル・スタディーズにおけるサブカルチャー研究で既に経験済みであった要素までである。,wikipedia,wikipedia
カナダでは、2003年に制定された法規の一環として、標準化された栄養成分表示が導入され、2005年12月12日に包装食品のほとんどについて表示が義務化された（小規模事業については、2007年12月12日まで猶予された）。,wikipedia,wikipedia
小野神社（おのじんじゃ）は、滋賀県大津市小野にある神社である。,wikipedia,wikipedia
1200m～1900mではグイマツを主とした山岳タイガ。,wikipedia,wikipedia
「大八島国と神神の生成」「出雲の神の遍歴譚」「天孫の降臨と婚姻」「高千穂より大和へ」の4つの章より構成される。,wikipedia,wikipedia
元は南部民謡「鋳銭坂」による銭吹き唄であるとされる。,wikipedia,wikipedia
高度が人に与える影響(こうどがひとにあたえるえいきょう)はかなり大きい。,wikipedia,wikipedia
居城は興国寺城。,wikipedia,wikipedia
563年（天嘉4年）、鎮右将軍の号を受けた。,wikipedia,wikipedia
それに乗って、今度は女子スーパーウェルター級世界チャンピオンが挑む。,wikipedia,wikipedia
28日、門司へ向け高雄発。,wikipedia,wikipedia
本名はケカウオハ・ビジオ・カレオ（けかうおは・びじお・かれお）。,wikipedia,wikipedia
ゲーム発売後、関連商品としてジッポーライター、シルバーネックレス、Tシャツ、キーホルダー、マネークリップ、カードケース等が販売された。,wikipedia,wikipedia
弟のクリストフとともに哲学者ピエール・ベールに教育を受け、長期のグランドツアーにも赴いた。,wikipedia,wikipedia
"ジョジアーヌ・バラスコ（Josiane Balasko, 1950年4月15日 - ）は、フランス・パリ出身の女優、作家、監督である。",wikipedia,wikipedia
和歌山大学教授、72年定年退官、名誉教授、日本大学教授。,wikipedia,wikipedia
大和町立大和中学校（やまとちょうりつやまとちゅうがっこう／たいわちょうりつたいわちゅうがっこう／だいわちょうりつだいわちゅうがっこう）は、日本の公立中学校。,wikipedia,wikipedia
映画三作に深くかかわっているデヴィッド・S・ゴイヤーが脚本・製作総指揮を手がけた。,wikipedia,wikipedia
バンド名の由来は、第二次世界大戦戦中における未確認飛行物体を指すスラング用語「フー・ファイター」から。,wikipedia,wikipedia
平安時代初期からは皇室の御料地となるが、1347年（貞和3年）にはそれまで南朝に呼応して島を支配していた飽浦信胤が細川師氏の攻めによって倒され、以後島は細川氏領となり皇室領は解体された。,wikipedia,wikipedia
激高したレットはスカーレットを強引に2階へ連れて行こうとするが、スカーレットは足を踏み外して転落し大怪我を負う。,wikipedia,wikipedia
"""X=1"" は気体中の分子がすべて電離して中性分子がなくなった状態を示し、完全電離と呼ばれる。",wikipedia,wikipedia
先に挙げた仕事中毒とも言えるような働きぶりによる過労死とする説を支持する者も日本には多い。,wikipedia,wikipedia
国家の法的基盤はシャリーアによって構成されていたが、慣習的な規則などもまた無視されなかった。,wikipedia,wikipedia
六月から七月にかけて実をつけるオウトウ（サクラの一種）の果実を日本では一般的にサクランボと呼び、栽培されている多くがヨーロッパの甘果桜桃（セイヨウミザクラ）系である。,wikipedia,wikipedia
酒寄が突っ込んだ後に田辺から「馬鹿」と言われ、フォローするのが主な流れ。,wikipedia,wikipedia
著者はヴィントン・サーフとロバート・カーンで、ノード間でパケット通信を使い資源を共有するインターネットワーキングのプロトコルを記述したものである。,wikipedia,wikipedia
本人は高偏差値である関西学院大学に通っていたが、関西学院より高偏差値の同志社大学にも合格していた。,wikipedia,wikipedia
対艦攻撃用に55cm魚雷発射管を三連装で2基を搭載した。,wikipedia,wikipedia
毎年8月には万灯夏まつり（万灯みたま祭り）がおこなわれている。,wikipedia,wikipedia
」などといったように（従来書かれた通俗的解説書などには大変多いが）理解していると、Javaなど近年の多くの言語処理系のスタイルが全くわからない、ということになる。,wikipedia,wikipedia
また、初披露曲は5曲である。,wikipedia,wikipedia
慶應義塾大学文学部卒業。,wikipedia,wikipedia
たとえば著名な書評家ジョン・チェンバレン (John Chamberlain) は、この小説を賞賛した。,wikipedia,wikipedia
教員における教授（きょうじゅ、）は、大学院、大学、短期大学、高等専門学校など高等教育を行う教育施設や、JAXA、大学入試センターなど研究機関の、指導者の職階や職階者である。,wikipedia,wikipedia
例外もあり、ルノーと共同開発したM9R型エンジンや、OEM供給を受けている車種へ搭載している他社製エンジンなどはこの規則が適用されない。,wikipedia,wikipedia
桑原 楽之（くわはら やすゆき、1942年12月22日 - 2017年3月1日）は、広島県広島市白島（現中区）出身のサッカー選手。,wikipedia,wikipedia
幸安国小の起源は1933年4月に開校した「幸小学校」に遡ることができる。,wikipedia,wikipedia
元ダイヤモンド信用保証社長。,wikipedia,wikipedia
1994年（平成6年）の公職選挙法改正で設置。,wikipedia,wikipedia
昭和の初めに、安全のためなどの理由で、付近の住民が地表に出てくる穴の入り口を土で埋めて閉塞した。,wikipedia,wikipedia
またワールド得点が800点を超えるとスペシャルステージが登場する。,wikipedia,wikipedia
